order_id,payment_type,payment_installments,payment_value
ORD247649,Bank_Transfer,4,40
ORD213486,Debit_Card,5,40
ORD234152,Credit_Card,4,100
ORD211025,Bank_Transfer,2,
ORD219824,Debit_Card,4,150
ORD224431,Voucher,10,40
ORD230289,Debit_Card,9,
ORD208451,Bank_Transfer,10,100
ORD215579,Bank_Transfer,10,150
ORD232600,Debit_Card,10,100
ORD201496,Bank_Transfer,2,40
ORD244791,Credit_Card,8,200
ORD215767,Voucher,10,100
ORD234733,Credit_Card,9,200
ORD216603,Bank_Transfer,3,
ORD233585,Credit_Card,1,20
ORD215307,Bank_Transfer,8,20
ORD229809,Debit_Card,11,150
ORD212268,Bank_Transfer,1,20
ORD217476,Bank_Transfer,8,60
ORD236333,Debit_Card,3,150
ORD204985,Debit_Card,2,100
ORD215329,Credit_Card,9,200
ORD213562,Credit Card,6,
ORD242404,Credit Card,5,200
ORD225381,Bank_Transfer,4,100
ORD247051,Credit_Card,3,
ORD208704,Credit_Card,1,
ORD219286,Credit Card,11,
ORD214209,Voucher,9,200
ORD202400,Credit_Card,5,150
ORD209023,Credit_Card,6,20
ORD239568,Credit Card,6,150
ORD247772,Bank_Transfer,1,150
ORD223391,Bank_Transfer,10,150
ORD215883,Credit Card,8,20
ORD220342,Voucher,2,
ORD222584,Debit_Card,4,150
ORD230077,Credit Card,6,200
ORD214987,Debit_Card,3,200
ORD249838,Credit_Card,4,20
ORD215078,Bank_Transfer,1,200
ORD219648,Bank_Transfer,10,40
ORD249128,Bank_Transfer,4,150
ORD241007,Credit_Card,1,100
ORD213920,Bank_Transfer,9,100
ORD247881,Credit_Card,8,150
ORD219609,Voucher,3,20
ORD244782,Debit_Card,5,60
ORD224261,Debit_Card,8,150
ORD216372,Voucher,2,150
ORD218587,Voucher,10,20
ORD238793,Voucher,6,40
ORD221070,Credit Card,2,200
ORD206992,Debit_Card,3,
ORD210577,Bank_Transfer,5,20
ORD228741,Debit_Card,7,200
ORD211435,Credit Card,2,60
ORD234618,Credit Card,8,60
ORD240932,Debit_Card,7,200
ORD229514,Credit_Card,5,100
ORD218588,Credit Card,1,60
ORD244306,Bank_Transfer,3,60
ORD202330,Credit_Card,6,
ORD211593,Credit_Card,10,60
ORD205507,Credit_Card,2,20
ORD238533,Voucher,4,150
ORD239362,Credit Card,10,
ORD231991,Credit_Card,6,60
ORD223080,Bank_Transfer,5,150
ORD223049,Bank_Transfer,2,40
ORD222200,Credit Card,4,20
ORD239759,Credit Card,4,40
ORD242161,Credit Card,8,150
ORD227349,Bank_Transfer,2,
ORD245208,Bank_Transfer,11,100
ORD239423,Credit Card,1,100
ORD231873,Debit_Card,2,100
ORD215276,Bank_Transfer,9,
ORD241734,Credit Card,1,200
ORD206052,Debit_Card,8,60
ORD246902,Bank_Transfer,8,100
ORD206343,Credit_Card,9,
ORD211044,Credit Card,2,200
ORD231203,Debit_Card,6,100
ORD241028,Debit_Card,5,20
ORD225550,Voucher,2,100
ORD248478,Debit_Card,4,150
ORD204035,Debit_Card,4,
ORD206398,Credit_Card,8,20
ORD222527,Voucher,6,200
ORD246320,Credit_Card,3,200
ORD218124,Credit_Card,10,100
ORD219919,Voucher,11,150
ORD231909,Bank_Transfer,10,40
ORD243983,Debit_Card,6,100
ORD244678,Credit_Card,5,200
ORD218395,Credit_Card,5,40
ORD240119,Credit Card,6,200
ORD203284,Bank_Transfer,2,150
ORD207988,Debit_Card,3,60
ORD225065,Credit_Card,4,
ORD221919,Credit Card,10,100
ORD249295,Credit Card,7,
ORD228145,Voucher,6,20
ORD213849,Voucher,7,100
ORD224490,Credit_Card,8,
ORD249391,Credit_Card,8,20
ORD208454,Credit Card,2,
ORD218478,Credit_Card,1,200
ORD220834,Credit_Card,1,200
ORD205154,Voucher,9,150
ORD206462,Bank_Transfer,10,100
ORD225217,Voucher,1,150
ORD234290,Bank_Transfer,5,60
ORD226415,Debit_Card,11,
ORD243555,Debit_Card,2,60
ORD234410,Bank_Transfer,11,60
ORD217558,Debit_Card,7,200
ORD219213,Bank_Transfer,10,150
ORD216766,Voucher,3,40
ORD205056,Voucher,6,60
ORD223641,Voucher,1,20
ORD245028,Credit Card,6,40
ORD228246,Debit_Card,5,100
ORD202052,Credit Card,8,20
ORD244949,Credit Card,2,150
ORD238306,Credit Card,4,200
ORD215317,Debit_Card,10,
ORD208942,Credit_Card,8,
ORD210823,Bank_Transfer,7,100
ORD229408,Debit_Card,2,20
ORD209070,Credit_Card,5,40
ORD205637,Credit_Card,11,40
ORD216029,Debit_Card,6,40
ORD216323,Debit_Card,7,40
ORD223913,Bank_Transfer,6,60
ORD210157,Credit_Card,8,
ORD245234,Bank_Transfer,7,60
ORD212636,Bank_Transfer,1,200
ORD239113,Voucher,6,200
ORD225657,Bank_Transfer,2,40
ORD236715,Credit_Card,3,20
ORD225477,Bank_Transfer,3,150
ORD226830,Bank_Transfer,11,100
ORD235548,Bank_Transfer,2,20
ORD202334,Debit_Card,4,100
ORD200389,Credit Card,5,
ORD248336,Voucher,8,200
ORD202447,Voucher,8,
ORD200384,Credit_Card,1,20
ORD206169,Debit_Card,10,200
ORD248198,Credit Card,8,200
ORD209304,Credit_Card,10,150
ORD221716,Bank_Transfer,3,150
ORD222054,Voucher,10,40
ORD227228,Voucher,8,
ORD249413,Credit_Card,5,200
ORD237269,Credit_Card,4,60
ORD207135,Credit Card,5,
ORD205085,Bank_Transfer,8,100
ORD249980,Bank_Transfer,10,40
ORD235952,Debit_Card,7,20
ORD228262,Credit Card,5,40
ORD207481,Voucher,7,200
ORD207975,Bank_Transfer,1,40
ORD247064,Voucher,6,200
ORD224440,Credit Card,10,60
ORD230008,Bank_Transfer,5,100
ORD229545,Credit_Card,7,40
ORD244838,Credit Card,4,60
ORD233532,Credit Card,10,60
ORD206050,Credit Card,5,20
ORD207734,Voucher,11,20
ORD207606,Credit Card,3,60
ORD210028,Debit_Card,11,20
ORD242674,Voucher,6,20
ORD233299,Credit_Card,10,100
ORD218423,Debit_Card,3,20
ORD209026,Credit_Card,8,20
ORD212395,Credit_Card,2,20
ORD228409,Debit_Card,10,20
ORD215281,Debit_Card,5,60
ORD237286,Voucher,4,150
ORD243720,Bank_Transfer,7,40
ORD226952,Bank_Transfer,3,
ORD246015,Bank_Transfer,3,200
ORD240294,Debit_Card,7,20
ORD225179,Voucher,10,150
ORD249328,Credit Card,11,
ORD237080,Bank_Transfer,6,60
ORD203182,Bank_Transfer,8,60
ORD211948,Bank_Transfer,5,150
ORD248982,Credit Card,1,200
ORD240812,Bank_Transfer,3,150
ORD236680,Credit Card,1,
ORD231404,Bank_Transfer,2,100
ORD226138,Debit_Card,7,60
ORD222294,Credit Card,6,200
ORD233626,Credit_Card,9,40
ORD214512,Bank_Transfer,7,150
ORD205474,Credit_Card,7,20
ORD211028,Credit Card,4,40
ORD201935,Bank_Transfer,10,40
ORD236555,Voucher,8,100
ORD218829,Voucher,3,100
ORD221190,Credit_Card,7,20
ORD218823,Debit_Card,9,200
ORD209753,Debit_Card,11,20
ORD233079,Debit_Card,1,40
ORD246105,Bank_Transfer,7,40
ORD213130,Voucher,9,
ORD234274,Debit_Card,10,60
ORD200876,Credit_Card,6,200
ORD203974,Voucher,7,20
ORD235029,Bank_Transfer,7,40
ORD240750,Voucher,9,40
ORD244157,Voucher,10,60
ORD228772,Debit_Card,10,40
ORD216601,Voucher,9,60
ORD200007,Credit_Card,8,60
ORD210019,Credit Card,8,150
ORD248563,Bank_Transfer,2,200
ORD203958,Credit_Card,2,100
ORD207627,Credit_Card,5,40
ORD241343,Credit_Card,5,40
ORD233597,Debit_Card,8,40
ORD228308,Debit_Card,5,150
ORD247910,Credit_Card,2,100
ORD211531,Voucher,4,60
ORD242119,Credit Card,9,40
ORD246088,Credit_Card,8,40
ORD248702,Voucher,4,150
ORD238812,Credit_Card,10,
ORD227176,Credit Card,2,200
ORD219846,Debit_Card,9,100
ORD204251,Credit_Card,6,
ORD217500,Debit_Card,8,150
ORD223602,Credit Card,7,
ORD220072,Debit_Card,4,60
ORD230550,Credit_Card,9,60
ORD246442,Credit_Card,5,60
ORD249216,Debit_Card,1,60
ORD212035,Credit_Card,8,40
ORD246656,Bank_Transfer,7,150
ORD245614,Credit_Card,1,40
ORD200538,Credit_Card,5,150
ORD215942,Bank_Transfer,9,100
ORD208867,Voucher,11,150
ORD218568,Credit Card,7,200
ORD203212,Voucher,8,
ORD233663,Credit Card,8,20
ORD220271,Debit_Card,9,40
ORD245038,Credit_Card,7,20
ORD210756,Debit_Card,5,40
ORD207399,Credit Card,10,100
ORD248253,Credit Card,5,150
ORD206300,Credit_Card,11,150
ORD225545,Debit_Card,2,40
ORD241827,Debit_Card,10,
ORD227327,Debit_Card,11,200
ORD210316,Bank_Transfer,9,20
ORD242845,Credit_Card,11,60
ORD230801,Voucher,7,100
ORD217973,Credit Card,6,40
ORD243901,Debit_Card,7,40
ORD204982,Credit_Card,2,20
ORD237736,Debit_Card,9,40
ORD212969,Bank_Transfer,7,150
ORD245788,Voucher,8,60
ORD225278,Voucher,8,60
ORD218952,Voucher,1,40
ORD214580,Bank_Transfer,5,20
ORD219147,Bank_Transfer,7,
ORD216453,Credit Card,8,20
ORD228222,Credit Card,2,
ORD246610,Voucher,2,150
ORD214574,Credit_Card,4,100
ORD230672,Bank_Transfer,9,
ORD205650,Credit_Card,2,20
ORD220045,Bank_Transfer,1,200
ORD215453,Debit_Card,6,60
ORD220776,Bank_Transfer,11,40
ORD220464,Credit_Card,7,150
ORD223679,Credit_Card,4,60
ORD228410,Voucher,6,150
ORD237109,Credit Card,1,
ORD244539,Voucher,11,150
ORD221009,Debit_Card,5,20
ORD207064,Bank_Transfer,4,40
ORD242343,Credit Card,3,150
ORD241829,Bank_Transfer,3,40
ORD214954,Credit Card,9,200
ORD209344,Credit_Card,11,60
ORD212159,Voucher,3,200
ORD219569,Voucher,2,60
ORD201378,Credit Card,4,100
ORD203659,Debit_Card,8,200
ORD249833,Voucher,8,20
ORD212395,Credit_Card,5,150
ORD203544,Debit_Card,3,200
ORD213934,Credit Card,5,150
ORD247362,Credit Card,6,40
ORD239842,Credit_Card,1,200
ORD238297,Bank_Transfer,3,150
ORD217122,Voucher,4,40
ORD242158,Credit Card,11,200
ORD203693,Credit Card,1,150
ORD204219,Debit_Card,10,200
ORD233517,Credit Card,6,
ORD226929,Bank_Transfer,11,200
ORD220425,Credit Card,11,
ORD218777,Voucher,1,200
ORD243580,Credit Card,2,150
ORD206076,Debit_Card,1,20
ORD245195,Credit_Card,4,20
ORD242928,Bank_Transfer,9,
ORD226209,Debit_Card,9,150
ORD221968,Voucher,6,
ORD238187,Credit_Card,5,20
ORD237628,Credit Card,3,60
ORD223012,Voucher,8,20
ORD220940,Debit_Card,6,40
ORD240063,Voucher,3,100
ORD218248,Credit Card,8,40
ORD229325,Credit Card,4,40
ORD222580,Bank_Transfer,8,20
ORD240063,Credit Card,1,150
ORD206638,Bank_Transfer,1,20
ORD215820,Credit Card,6,60
ORD210609,Credit Card,8,200
ORD224520,Credit_Card,4,100
ORD225984,Voucher,6,
ORD200048,Credit_Card,11,
ORD227053,Debit_Card,4,
ORD204674,Debit_Card,1,20
ORD240413,Credit_Card,8,100
ORD205330,Voucher,6,150
ORD223720,Credit Card,3,60
ORD234496,Debit_Card,9,100
ORD216748,Bank_Transfer,8,60
ORD226945,Bank_Transfer,2,150
ORD241444,Credit Card,6,40
ORD230840,Credit_Card,5,100
ORD202497,Credit Card,1,20
ORD224861,Credit Card,4,60
ORD237560,Voucher,4,200
ORD232838,Credit_Card,10,200
ORD213796,Voucher,7,20
ORD247481,Bank_Transfer,5,40
ORD235730,Credit Card,7,100
ORD234368,Credit Card,8,40
ORD230061,Bank_Transfer,5,
ORD202674,Credit_Card,9,100
ORD219612,Bank_Transfer,3,200
ORD210055,Credit_Card,2,
ORD212615,Debit_Card,5,200
ORD212377,Bank_Transfer,7,150
ORD219218,Bank_Transfer,3,20
ORD242449,Bank_Transfer,9,200
ORD237987,Bank_Transfer,8,20
ORD209393,Bank_Transfer,9,60
ORD213656,Credit_Card,11,200
ORD231727,Credit Card,3,200
ORD222224,Credit_Card,3,200
ORD219179,Debit_Card,8,200
ORD224692,Bank_Transfer,9,20
ORD207089,Voucher,7,200
ORD213756,Bank_Transfer,3,
ORD239937,Credit_Card,9,60
ORD239051,Credit_Card,7,100
ORD223406,Credit Card,11,200
ORD247975,Credit Card,7,200
ORD213646,Debit_Card,7,150
ORD238552,Credit Card,1,100
ORD241748,Voucher,6,150
ORD243381,Credit_Card,2,20
ORD222602,Credit Card,10,150
ORD245264,Debit_Card,7,150
ORD228184,Credit_Card,11,200
ORD216766,Credit Card,11,60
ORD236803,Credit_Card,10,150
ORD236887,Bank_Transfer,5,100
ORD231212,Bank_Transfer,11,100
ORD236194,Credit_Card,1,150
ORD237922,Credit Card,9,40
ORD238521,Credit_Card,4,20
ORD237889,Voucher,4,200
ORD234164,Voucher,8,150
ORD227938,Voucher,4,150
ORD209428,Debit_Card,2,60
ORD219874,Credit Card,1,60
ORD216993,Bank_Transfer,9,40
ORD242596,Credit_Card,8,40
ORD214582,Voucher,6,200
ORD244928,Credit Card,6,
ORD210706,Credit Card,6,60
ORD237811,Credit Card,4,20
ORD240863,Credit Card,6,
ORD222393,Debit_Card,7,100
ORD223280,Credit_Card,1,200
ORD245842,Bank_Transfer,7,100
ORD244515,Bank_Transfer,6,20
ORD249477,Debit_Card,4,
ORD218868,Credit Card,2,60
ORD245130,Credit_Card,3,20
ORD219177,Voucher,1,20
ORD207900,Bank_Transfer,5,150
ORD214098,Credit_Card,5,20
ORD217992,Voucher,6,150
ORD230660,Debit_Card,3,150
ORD220328,Debit_Card,5,
ORD204850,Credit_Card,10,200
ORD208693,Bank_Transfer,9,40
ORD228027,Credit_Card,3,
ORD210039,Voucher,9,100
ORD209842,Credit Card,2,
ORD213318,Credit Card,9,
ORD242415,Credit_Card,8,100
ORD230380,Bank_Transfer,8,100
ORD234943,Credit Card,11,
ORD211048,Voucher,8,40
ORD241780,Debit_Card,9,100
ORD213587,Credit Card,1,200
ORD217835,Credit_Card,9,100
ORD239264,Credit_Card,11,150
ORD223915,Credit Card,7,200
ORD235234,Voucher,3,20
ORD205212,Credit_Card,6,100
ORD232713,Voucher,5,150
ORD236847,Debit_Card,2,20
ORD206517,Bank_Transfer,6,40
ORD204921,Credit Card,5,20
ORD216092,Bank_Transfer,5,150
ORD220601,Credit Card,5,150
ORD224562,Credit Card,4,
ORD240047,Bank_Transfer,7,60
ORD228702,Voucher,10,
ORD224710,Voucher,11,40
ORD209245,Voucher,5,200
ORD231906,Credit_Card,11,200
ORD218792,Credit_Card,8,20
ORD221159,Debit_Card,1,200
ORD222436,Voucher,5,20
ORD224526,Voucher,10,60
ORD206375,Debit_Card,9,200
ORD235781,Debit_Card,10,40
ORD245361,Credit_Card,6,100
ORD227890,Credit Card,3,150
ORD202765,Debit_Card,8,60
ORD244036,Credit Card,6,40
ORD216910,Voucher,1,200
ORD233313,Voucher,3,60
ORD241265,Voucher,3,20
ORD225659,Credit Card,10,200
ORD239274,Voucher,7,150
ORD244198,Credit_Card,9,40
ORD210562,Debit_Card,4,40
ORD235535,Voucher,3,20
ORD240637,Credit_Card,10,20
ORD211390,Bank_Transfer,7,20
ORD239031,Credit_Card,10,60
ORD217388,Debit_Card,1,
ORD204658,Voucher,5,100
ORD224049,Credit Card,8,150
ORD246925,Debit_Card,8,60
ORD226675,Debit_Card,10,40
ORD240708,Credit Card,2,40
ORD205559,Voucher,11,20
ORD221373,Debit_Card,4,100
ORD245373,Bank_Transfer,11,200
ORD225573,Voucher,8,150
ORD216505,Voucher,6,20
ORD212689,Credit_Card,4,200
ORD201248,Voucher,2,150
ORD216871,Voucher,2,60
ORD205968,Debit_Card,4,150
ORD208477,Credit_Card,11,40
ORD223193,Credit_Card,1,100
ORD240565,Bank_Transfer,1,200
ORD239907,Voucher,7,100
ORD218705,Debit_Card,4,100
ORD209410,Debit_Card,2,150
ORD206384,Bank_Transfer,9,60
ORD239728,Bank_Transfer,7,
ORD240900,Bank_Transfer,7,40
ORD244839,Debit_Card,3,
ORD245700,Credit Card,3,40
ORD228184,Debit_Card,9,200
ORD248991,Debit_Card,5,100
ORD234322,Credit Card,4,
ORD202626,Credit_Card,7,100
ORD215758,Credit_Card,3,60
ORD219362,Credit Card,10,100
ORD242282,Voucher,8,40
ORD206496,Credit_Card,11,60
ORD214651,Debit_Card,8,20
ORD226580,Credit_Card,5,150
ORD234787,Voucher,11,100
ORD201845,Credit_Card,6,200
ORD229881,Credit Card,11,60
ORD239770,Debit_Card,2,150
ORD201932,Debit_Card,4,100
ORD243138,Credit Card,11,40
ORD230721,Credit_Card,1,60
ORD242702,Credit Card,5,
ORD240854,Credit_Card,3,200
ORD231244,Credit_Card,3,20
ORD223690,Bank_Transfer,10,150
ORD249586,Debit_Card,10,200
ORD244725,Credit_Card,11,200
ORD234669,Credit_Card,11,40
ORD216436,Bank_Transfer,7,200
